ID,delivery_time,late_delivery
0x2318 ,25,0
0x3474 ,27,0
0x9420 ,27,0
0x72ee ,28,0
0xa759 ,21,0
0xc4af ,20,0
0x3b9d ,12,0
0xdd42 ,24,0
0x872b ,40,0
0x6001 ,25,0
0xd845 ,22,0
0x4946 ,15,0
0x4598 ,14,0
0xbd51 ,19,0
0x73ec ,33,0
0x5ca7 ,29,0
0x9fa6 ,35,0
0x914e ,21,0
0x36e5 ,16,0
0xd82e ,22,0
0x1df3 ,36,0
0xa65 ,30,0
0x8b83 ,22,0
0x5b95 ,26,0
0xaa43 ,28,0
0x9995 ,25,0
0x1018 ,35,0
0x4af3 ,19,0
0x87a1 ,20,0
0xb64c ,13,0
0x4b7e ,13,0
0x252d ,22,0
0x368e ,18,0
0xe09 ,20,0
0x39aa ,27,0
0xb542 ,34,0
0x7604 ,17,0
0x597c ,41,0
0x184f ,16,0
0x9442 ,24,0
0x84e ,22,0
0xa6ba ,30,0
0xb66b ,19,0
0x9bb ,21,0
0x8d9a ,22,0
0x869f ,38,0
0xc587 ,49,1
0x3167 ,21,0
0x4981 ,25,0
0x4c83 ,21,0
0x2493 ,14,0
0x21a5 ,21,0
0x5571 ,12,0
0x45b1 ,40,0
0xb1f0 ,25,0
0x75d9 ,25,0
0x46dd ,26,0
0xc002 ,21,0
0x95e5 ,28,0
0x1c1f ,20,0
0x45bd ,17,0
0xb986 ,24,0
0x1761 ,45,0
0xb84c ,27,0
0x69c3 ,35,0
0xd68c ,43,0
0xd05f ,49,1
0xb5f0 ,24,0
0x69a8 ,30,0
0xc9c5 ,35,0
0x478e ,24,0
0x12dd ,27,0
0x78e3 ,17,0
0x1661 ,24,0
0xcb17 ,19,0
0xdff4 ,20,0
0x75c3 ,21,0
0xceb4 ,20,0
0x8ae4 ,17,0
0xdb61 ,20,0
0x790 ,14,0
0x8968 ,27,0
0xa39a ,20,0
0x8826 ,27,0
0x4c8c ,17,0
0x103c ,38,0
0x98a8 ,15,0
0xb338 ,28,0
0x366d ,21,0
0x7d75 ,14,0
0x6d30 ,36,0
0x616f ,27,0
0x9ee3 ,24,0
0x4d82 ,25,0
0xb757 ,28,0
0x2e53 ,19,0
0xd686 ,21,0
0x828d ,14,0
0xb9f5 ,22,0
0x73c4 ,33,0
0xd427 ,24,0
0xc009 ,39,0
0x7030 ,21,0
0xc500 ,25,0
0xd0f4 ,14,0
0x6e8c ,19,0
0xa1ee ,26,0
0x4720 ,15,0
0x5691 ,49,1
0xb8f1 ,32,0
0xc790 ,39,0
0x3234 ,33,0
